,language_name,language_creator,conlang_status,conlang_type,language_creator_profile,language_conlang_profile
2104,Nakava,CaptainSofa,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S4658732141,http://conworkshop.info/view_language.php?l=NKV
2105,Nakoma,dotkong90,New,Not specified,http://conworkshop.info/view_profile.php?m=S1863178594,http://conworkshop.info/view_language.php?l=NAK
2106,nalar,ujmhjk,New,A posteriori,http://conworkshop.info/view_profile.php?m=S1922568768,http://conworkshop.info/view_language.php?l=APN
2107,Nalonite,Arnoldii,New,A priori,http://conworkshop.info/view_profile.php?m=1830176547269086,http://conworkshop.info/view_language.php?l=AON
2108,Naltio,asdrop,New,A posteriori,http://conworkshop.info/view_profile.php?m=100001724414340,http://conworkshop.info/view_language.php?l=OLA
2109,Namacian,DillanK,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S1089614262,http://conworkshop.info/view_language.php?l=NAM
2110,Namajian,Eejii,New,Mixed,http://conworkshop.info/view_profile.php?m=S5362178385,http://conworkshop.info/view_language.php?l=NMJ
2111,Nameless,tonttu,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S7383387316,http://conworkshop.info/view_language.php?l=YNJ
2112,Namica,FoxxDogg,New,A priori,http://conworkshop.info/view_profile.php?m=S4193656145,http://conworkshop.info/view_language.php?l=CRY
2113,Nammoq,iemand,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2497607862,http://conworkshop.info/view_language.php?l=NMQ
2114,Nampendian,Brobly,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S0740662268,http://conworkshop.info/view_language.php?l=GER
2115,Namu,reo-orooro,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S5267407174,http://conworkshop.info/view_language.php?l=N4M
2116,Nandut,clawgrip,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9809910036,http://conworkshop.info/view_language.php?l=NND
2117,Nanix,zain11,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S2713976352,http://conworkshop.info/view_language.php?l=U75
2118,Nanrae,Persomnus,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S8434028299,http://conworkshop.info/view_language.php?l=229
2119,Napathi,Wildermann,New,A priori,http://conworkshop.info/view_profile.php?m=S4167783688,http://conworkshop.info/view_language.php?l=BDA
2120,Nara,Uhwathoric,New,A priori,http://conworkshop.info/view_profile.php?m=1653551164898226,http://conworkshop.info/view_language.php?l=NKM
2121,Narez,obculto,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S4558666537,http://conworkshop.info/view_language.php?l=NRZ
2122,Nari,verner3,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S2020253108,http://conworkshop.info/view_language.php?l=NAI
2123,Nartike,xijtsjis,New,A posteriori,http://conworkshop.info/view_profile.php?m=S5944729951,http://conworkshop.info/view_language.php?l=XNT
2124,Nasalized consonant test,IndigoLily,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S7021306161,http://conworkshop.info/view_language.php?l=LNC
2125,Nasclasian,Matthew,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S8650475749,http://conworkshop.info/view_language.php?l=BCH
2126,Našnadu,Harshmellow,New,A priori,http://conworkshop.info/view_profile.php?m=S1190098068,http://conworkshop.info/view_language.php?l=NDU
2127,Nasracorian,Marlowe Clark,New,A priori,http://conworkshop.info/view_profile.php?m=100001893218553,http://conworkshop.info/view_language.php?l=NQR
2128,Nasraic,haec est sparta,New,A priori,http://conworkshop.info/view_profile.php?m=S5264669915,http://conworkshop.info/view_language.php?l=NAR
2129,Naswiyan,KathTheDragon,Progressing,A priori,http://conworkshop.info/view_profile.php?m=100004330242348,http://conworkshop.info/view_language.php?l=NSW
2130,Natanian,antigollnian,New,A posteriori,http://conworkshop.info/view_profile.php?m=S4451155553,http://conworkshop.info/view_language.php?l=NTN
2131,Natarye,Marlowe Clark,New,A priori,http://conworkshop.info/view_profile.php?m=100001893218553,http://conworkshop.info/view_language.php?l=NTY
2132,Nathir,CLynch2113,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2588070851,http://conworkshop.info/view_language.php?l=QBZ
2133,Natoje,Gabriel Sanchez,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=10207276032732314,http://conworkshop.info/view_language.php?l=GSB
2134,Natrak,Dyyylest,On hold,Other,http://conworkshop.info/view_profile.php?m=S9155521524,http://conworkshop.info/view_language.php?l=NTK
2135,Nattan,argyle,New,A priori,http://conworkshop.info/view_profile.php?m=S3566640140,http://conworkshop.info/view_language.php?l=NAT
2136,Nattish,hashi,On hold,A posteriori,http://conworkshop.info/view_profile.php?m=1616732631,http://conworkshop.info/view_language.php?l=NTS
2137,Navar,verner3,New,Not specified,http://conworkshop.info/view_profile.php?m=S2020253108,http://conworkshop.info/view_language.php?l=NVR
2138,Naveli,nazalzacsat,New,Creole,http://conworkshop.info/view_profile.php?m=S9952815916,http://conworkshop.info/view_language.php?l=BHG
2139,Navian,nazalzacsat,New,A priori,http://conworkshop.info/view_profile.php?m=S9952815916,http://conworkshop.info/view_language.php?l=IAI
2140,Nawdedal,Skelly Jelly,New,A priori,http://conworkshop.info/view_profile.php?m=S3719212773,http://conworkshop.info/view_language.php?l=NAA
2141,Nawinian,Irkan,Progressing,A priori,http://conworkshop.info/view_profile.php?m=1419333619,http://conworkshop.info/view_language.php?l=NWY
2142,Nawkami,Dari Benetka,Functional,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S0653011222,http://conworkshop.info/view_language.php?l=NGM
2143,Nayroh,ciuak,New,A priori,http://conworkshop.info/view_profile.php?m=S2358555350,http://conworkshop.info/view_language.php?l=NAJ
2144,Náqs,Marris,New,A priori,http://conworkshop.info/view_profile.php?m=S7261699972,http://conworkshop.info/view_language.php?l=NAQ
2145,Nåmy,hokiksyomin9,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=1152414894,http://conworkshop.info/view_language.php?l=NÅM
2146,Nördkish,Marcus Queiroz,New,A priori,http://conworkshop.info/view_profile.php?m=10153408472382585,http://conworkshop.info/view_language.php?l=NDK
2147,Nûvek,Tonic,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S2210761843,http://conworkshop.info/view_language.php?l=MCL
2148,Ndatshok,K3aschas,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S4441975357,http://conworkshop.info/view_language.php?l=NCK
2149,Ndoril,Khajidu,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9295825472,http://conworkshop.info/view_language.php?l=NDO
2150,Ndre,GreatOverseer,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9308312149,http://conworkshop.info/view_language.php?l=NDE
2151,Neamenian,Ashucky,New,A priori,http://conworkshop.info/view_profile.php?m=S0656497066,http://conworkshop.info/view_language.php?l=NPM
2152,Neantel,RainStar,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9733392901,http://conworkshop.info/view_language.php?l=NEL
2153,Necarasso Cryssesa (Cressian),Fluffy8x,Functional,A priori,http://conworkshop.info/view_profile.php?m=S4515643429,http://conworkshop.info/view_language.php?l=NCS
2154,Neemsk,benjamin,Abandoned,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=311171155899416,http://conworkshop.info/view_language.php?l=NEM
2155,Nefirian,Raijania,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S4564064059,http://conworkshop.info/view_language.php?l=NEP
2156,Neglang,Jordi Faxon,New,Not specified,http://conworkshop.info/view_profile.php?m=1730276980524640,http://conworkshop.info/view_language.php?l=GKD
2157,Nehu,orangefriedegg,New,Not specified,http://conworkshop.info/view_profile.php?m=S5676175738,http://conworkshop.info/view_language.php?l=NEH
2158,Nekora,Zipbox,New,A priori,http://conworkshop.info/view_profile.php?m=S8126370729,http://conworkshop.info/view_language.php?l=NEK
2159,Nelaian,Ystzom,New,Mixed,http://conworkshop.info/view_profile.php?m=S4503800364,http://conworkshop.info/view_language.php?l=NLS
2160,Nelakan,Taih3i,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S1597713936,http://conworkshop.info/view_language.php?l=NLK
2161,Nelhodin,Dracolocutor,On hold,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S4752490159,http://conworkshop.info/view_language.php?l=NLD
2162,Neliios,Majd Kajan,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=909232465859142,http://conworkshop.info/view_language.php?l=NLI
2163,Nellaic,ShayminLover,New,Creole,http://conworkshop.info/view_profile.php?m=S8118626382,http://conworkshop.info/view_language.php?l=NEY
2164,Nengath,Pawl Bear,New,Mixed,http://conworkshop.info/view_profile.php?m=609648209,http://conworkshop.info/view_language.php?l=NGT
2165,Nenkyesh,njanbac,Progressing,Not specified,http://conworkshop.info/view_profile.php?m=S8300314921,http://conworkshop.info/view_language.php?l=NEN
2166,Nensenthian Karaaka,Dylan Scott Low,New,A priori,http://conworkshop.info/view_profile.php?m=1272599862756395,http://conworkshop.info/view_language.php?l=NKR
2167,Nenusa,Pickleseller1,New,Not specified,http://conworkshop.info/view_profile.php?m=S0866746022,http://conworkshop.info/view_language.php?l=NSA
2168,Neo Carpathian,Cestion,New,A posteriori,http://conworkshop.info/view_profile.php?m=S3836918158,http://conworkshop.info/view_language.php?l=FG0
2169,Neo Romani Language,Aziz Bastosun,New,Mixed,http://conworkshop.info/view_profile.php?m=639971282847980,http://conworkshop.info/view_language.php?l=NRY
2170,Neo-Ardalis,Brahhium,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S8522693695,http://conworkshop.info/view_language.php?l=NAD
2171,Neo-Atlantean,sampearson441,New,A posteriori,http://conworkshop.info/view_profile.php?m=S0612160288,http://conworkshop.info/view_language.php?l=RAL
2172,Neo-Requin,Viktor Stamyr,New,Not specified,http://conworkshop.info/view_profile.php?m=100000784091013,http://conworkshop.info/view_language.php?l=NRQ
2173,Nepri,pkhaimov,New,Not specified,http://conworkshop.info/view_profile.php?m=S9236717188,http://conworkshop.info/view_language.php?l=NPR
2174,Neps,Marris,New,A priori,http://conworkshop.info/view_profile.php?m=S7261699972,http://conworkshop.info/view_language.php?l=NAP
2175,Nepuri,pkhaimov,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9236717188,http://conworkshop.info/view_language.php?l=BUA
2176,Nereifa,Ebon,New,A priori,http://conworkshop.info/view_profile.php?m=S1799695576,http://conworkshop.info/view_language.php?l=NEI
2177,Nerrivik,Kuno12,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S7394413218,http://conworkshop.info/view_language.php?l=TSW
2178,Neshdi,Casidhe,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S6394890123,http://conworkshop.info/view_language.php?l=NSD
2179,Neskumir,tentonunicorn,New,A priori,http://conworkshop.info/view_profile.php?m=S4836371083,http://conworkshop.info/view_language.php?l=NKU
2180,Nesthraya,psychicdaydreams,New,A priori,http://conworkshop.info/view_profile.php?m=S7357695142,http://conworkshop.info/view_language.php?l=NES
2181,Neutral II,Dziego,Progressing,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=S4829655816,http://conworkshop.info/view_language.php?l=NE2
2182,Nevalian,parasperuna,New,A priori,http://conworkshop.info/view_profile.php?m=S8386528197,http://conworkshop.info/view_language.php?l=WNE
2183,Nevashi,neschria,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S3821421986,http://conworkshop.info/view_language.php?l=TNV
2184,Neviat,ananari,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=726845054094112,http://conworkshop.info/view_language.php?l=NEV
2185,Nevira,NeoMahler,New,Not specified,http://conworkshop.info/view_profile.php?m=S4827557808,http://conworkshop.info/view_language.php?l=NEA
2186,Nevotak,UniBlackSister,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S6411814634,http://conworkshop.info/view_language.php?l=NVT
2187,New Amaian,dendana,New,Other,http://conworkshop.info/view_profile.php?m=S1022175333,http://conworkshop.info/view_language.php?l=AMI
2188,New Amaian (1000 CE),dendana,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=S1022175333,http://conworkshop.info/view_language.php?l=THO
2189,New Amaian (500 BCE),dendana,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=S1022175333,http://conworkshop.info/view_language.php?l=FIV
2190,New Anglo Saxon,daveh871,New,A posteriori,http://conworkshop.info/view_profile.php?m=S1070534063,http://conworkshop.info/view_language.php?l=NAS
2191,New Anglo-Saxon,14dollars,New,A posteriori,http://conworkshop.info/view_profile.php?m=S9035078274,http://conworkshop.info/view_language.php?l=NIW
2192,New Arkhaian,Maelan,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S6887538375,http://conworkshop.info/view_language.php?l=RKD
2193,New Cobenan,Rowe,New,A priori,http://conworkshop.info/view_profile.php?m=S9401977073,http://conworkshop.info/view_language.php?l=NCO
2194,New Cumbric,annelegodic,New,A posteriori,http://conworkshop.info/view_profile.php?m=S2500660758,http://conworkshop.info/view_language.php?l=NGR
2195,New Izweababaan,Thaegjox,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S6195958538,http://conworkshop.info/view_language.php?l=OKS
2196,New Latin,IdleGamesRock,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S0767456528,http://conworkshop.info/view_language.php?l=NVL
2197,New Narian,verner3,New,A priori,http://conworkshop.info/view_profile.php?m=S2020253108,http://conworkshop.info/view_language.php?l=NNA
2198,New New Jerseyan,argyle,On hold,A posteriori,http://conworkshop.info/view_profile.php?m=S3566640140,http://conworkshop.info/view_language.php?l=NNJ
2199,New Phonetian,Stefan Postelnicu,New,Not specified,http://conworkshop.info/view_profile.php?m=1627529594216356,http://conworkshop.info/view_language.php?l=ARF
2200,New Proto-Amaian,dendana,New,Proto-Conlang,http://conworkshop.info/view_profile.php?m=S1022175333,http://conworkshop.info/view_language.php?l=NPA
2201,New Saxon,Alexander Schoemaker,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=895750337186816,http://conworkshop.info/view_language.php?l=NYS
2202,New Solfége,Boo Radley,New,A priori,http://conworkshop.info/view_profile.php?m=S4057533704,http://conworkshop.info/view_language.php?l=SFG
2203,New South Jutlandic,The South Jute,New,A posteriori,http://conworkshop.info/view_profile.php?m=1163411457006394,http://conworkshop.info/view_language.php?l=NSJ
2204,New Syriac,iodalach93,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S0796128706,http://conworkshop.info/view_language.php?l=NSY
2205,New Yokudan,myoKun345,New,Other,http://conworkshop.info/view_profile.php?m=S6963504954,http://conworkshop.info/view_language.php?l=NYQ
2206,New-writ,Levantaos,New,A posteriori,http://conworkshop.info/view_profile.php?m=S6847402540,http://conworkshop.info/view_language.php?l=NWR
2207,Newlandic,ThePwnageSlime,Abandoned,A posteriori,http://conworkshop.info/view_profile.php?m=S6855499370,http://conworkshop.info/view_language.php?l=SJK
2208,Neyan,Rob Varty,New,Not specified,http://conworkshop.info/view_profile.php?m=10205834475754863,http://conworkshop.info/view_language.php?l=NYE
2209,Neyrian,Dylan Scott Low,New,A posteriori,http://conworkshop.info/view_profile.php?m=1272599862756395,http://conworkshop.info/view_language.php?l=AKN
2210,Neytrian,TheMópe,New,A priori,http://conworkshop.info/view_profile.php?m=1179077645509449,http://conworkshop.info/view_language.php?l=NYR
2211,Nezen,hashi,On hold,A priori,http://conworkshop.info/view_profile.php?m=1616732631,http://conworkshop.info/view_language.php?l=NZN
2212,Ngalukätäl,Tìlukonfð,Progressing,Other,http://conworkshop.info/view_profile.php?m=S7955440356,http://conworkshop.info/view_language.php?l=NKS
2213,Ngankedic,clawgrip,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S9809910036,http://conworkshop.info/view_language.php?l=NKD
2214,Ngeyv,protondonor,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S9663218687,http://conworkshop.info/view_language.php?l=NGV
2215,Ngiru,Egil,Progressing,A priori,http://conworkshop.info/view_profile.php?m=650260461780779,http://conworkshop.info/view_language.php?l=NGI
2216,Ngosok,Dari Benetka,New,Not specified,http://conworkshop.info/view_profile.php?m=S0653011222,http://conworkshop.info/view_language.php?l=NGO
2217,Ngramsjeok,Laverdure,New,A priori,http://conworkshop.info/view_profile.php?m=S1490827992,http://conworkshop.info/view_language.php?l=NGK
2218,Ngthr:k,Hayanan,New,A priori,http://conworkshop.info/view_profile.php?m=S2852535373,http://conworkshop.info/view_language.php?l=NRK
2219,Ngu-Cam,Ahzoh,New,A priori,http://conworkshop.info/view_profile.php?m=S5877553046,http://conworkshop.info/view_language.php?l=NGC
2220,Ngutanese,unleashy,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S0491635363,http://conworkshop.info/view_language.php?l=NGU
2221,Nhahutehas,mousefire55,Abandoned,A priori,http://conworkshop.info/view_profile.php?m=S3737195020,http://conworkshop.info/view_language.php?l=GHE
2222,Nhanese,Eija,Progressing,Not specified,http://conworkshop.info/view_profile.php?m=S4033251876,http://conworkshop.info/view_language.php?l=NHN
2223,Nia,princeofmind,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8111265933,http://conworkshop.info/view_language.php?l=NIP
2224,Nióruais,Ultimate Ridley,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S2465194687,http://conworkshop.info/view_language.php?l=NIO
2225,Nichana,Pimpossible,Abandoned,A priori,http://conworkshop.info/view_profile.php?m=S5205552725,http://conworkshop.info/view_language.php?l=NIC
2226,Nidian,Eejii,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S5362178385,http://conworkshop.info/view_language.php?l=HVA
2227,Nieren,erassion,Functional,A priori,http://conworkshop.info/view_profile.php?m=963248653696642,http://conworkshop.info/view_language.php?l=MNP
2228,Nierian ,Declan P Nieradka,New,Other,http://conworkshop.info/view_profile.php?m=915689271858522,http://conworkshop.info/view_language.php?l=NIE
2229,Nifelakhan,Mort,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S4425854089,http://conworkshop.info/view_language.php?l=NIF
2230,Nihau,Kane Naji,New,Other,http://conworkshop.info/view_profile.php?m=339414603104728,http://conworkshop.info/view_language.php?l=NIH
2231,Niian,Niios,New,Not specified,http://conworkshop.info/view_profile.php?m=S3137665546,http://conworkshop.info/view_language.php?l=VNX
2232,Nikumaroro Esperanto,KolmeSeihda,New,A posteriori,http://conworkshop.info/view_profile.php?m=S4614176016,http://conworkshop.info/view_language.php?l=NKE
2233,Nikunish,Tuckiozi,New,A priori,http://conworkshop.info/view_profile.php?m=S5588628690,http://conworkshop.info/view_language.php?l=NIK
2234,Nimaemoynese,Hadrien Chalard,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=1976742119216992,http://conworkshop.info/view_language.php?l=NII
2235,Nimar,Incognito,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S4453317806,http://conworkshop.info/view_language.php?l=HIN
2236,Nimbian,TankBot27,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S5896093418,http://conworkshop.info/view_language.php?l=NMB
2237,Nimpik,warrook,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S9610452655,http://conworkshop.info/view_language.php?l=NPK
2238,Ninrin,Dari Benetka,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S0653011222,http://conworkshop.info/view_language.php?l=NRG
2239,Nirian,hivalnid,New,A priori,http://conworkshop.info/view_profile.php?m=10208522515083856,http://conworkshop.info/view_language.php?l=NIR
2240,Nisuese,Znex,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S6207577498,http://conworkshop.info/view_language.php?l=NSU
2241,Nithalos,hashi,Functional,Mixed,http://conworkshop.info/view_profile.php?m=1616732631,http://conworkshop.info/view_language.php?l=NXS
2242,Nits,oleander,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S0126377367,http://conworkshop.info/view_language.php?l=NIT
2243,Niuta Dialect,dendana,New,Mixed,http://conworkshop.info/view_profile.php?m=S1022175333,http://conworkshop.info/view_language.php?l=NYU
2244,Nixorbian Celestial Speech,Viktor Stamyr,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=100000784091013,http://conworkshop.info/view_language.php?l=DIT
2245,No. 4a,Schyrsivochter,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S6019681423,http://conworkshop.info/view_language.php?l=NO4
2246,Nobari,CursedFlames,Abandoned,A priori,http://conworkshop.info/view_profile.php?m=S3050848975,http://conworkshop.info/view_language.php?l=NOB
2247,Nokken,Mynotoar,New,A priori,http://conworkshop.info/view_profile.php?m=S3915101359,http://conworkshop.info/view_language.php?l=NKN
2248,Nokppoddarra,Marlowe Clark,New,A priori,http://conworkshop.info/view_profile.php?m=100001893218553,http://conworkshop.info/view_language.php?l=NKP
2249,Nolst,lockedin,New,A priori,http://conworkshop.info/view_profile.php?m=S2661917684,http://conworkshop.info/view_language.php?l=NLT
2250,Nolwynn,fractalshadow,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S4766695180,http://conworkshop.info/view_language.php?l=NLN
2251,Nolyam,Fabián Á. López,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=1095219703821544,http://conworkshop.info/view_language.php?l=NOL
2252,Nono,ohno,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S8872280093,http://conworkshop.info/view_language.php?l=NON
2253,Nooghe,Dari Benetka,New,Joke language,http://conworkshop.info/view_profile.php?m=S0653011222,http://conworkshop.info/view_language.php?l=MNL
2254,Noorish,GohtCheee,New,A priori,http://conworkshop.info/view_profile.php?m=S5988584777,http://conworkshop.info/view_language.php?l=NRL
2255,Nordic,RomanNumeralII,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2628069628,http://conworkshop.info/view_language.php?l=NRD
2256,Nordic,CLynch2113,Functional,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2588070851,http://conworkshop.info/view_language.php?l=016
2257,Nordiwuskem,Inessa Marie,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=100003646084552,http://conworkshop.info/view_language.php?l=GRS
2258,Norel,Eirdrien,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S7699548720,http://conworkshop.info/view_language.php?l=NZ1
2259,Norgispeel,Normandy,New,A priori,http://conworkshop.info/view_profile.php?m=S7894144200,http://conworkshop.info/view_language.php?l=NSP
2260,Norhasul,David Trew,Functional,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=1087248741394502,http://conworkshop.info/view_language.php?l=NRH
2261,Norjihani,Normandy,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S7894144200,http://conworkshop.info/view_language.php?l=NOJ
2262,Norksi,GrimSmith,New,Not specified,http://conworkshop.info/view_profile.php?m=S3424759679,http://conworkshop.info/view_language.php?l=NOK
2263,Normalized French,TuxCrafting,New,A posteriori,http://conworkshop.info/view_profile.php?m=S3655023549,http://conworkshop.info/view_language.php?l=NFR
2264,Normanic,adriams95,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=S9142300263,http://conworkshop.info/view_language.php?l=NRC
2265,Normanish,Cestion,New,A posteriori,http://conworkshop.info/view_profile.php?m=S3836918158,http://conworkshop.info/view_language.php?l=N01
2266,Normesh,Normandy,New,A posteriori,http://conworkshop.info/view_profile.php?m=S7894144200,http://conworkshop.info/view_language.php?l=NCH
2267,Nornsvålk,Valiiosanae,New,Not specified,http://conworkshop.info/view_profile.php?m=S3026289050,http://conworkshop.info/view_language.php?l=NVK
2268,Norothorean,Hypolios,New,A priori,http://conworkshop.info/view_profile.php?m=S9230741848,http://conworkshop.info/view_language.php?l=NKL
2269,Norren,khaleesi,New,A priori,http://conworkshop.info/view_profile.php?m=S2619556296,http://conworkshop.info/view_language.php?l=NRN
2270,Norse,CLynch2113,Progressing,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S2588070851,http://conworkshop.info/view_language.php?l=B16
2271,North Elvish,hamalane,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S7378507175,http://conworkshop.info/view_language.php?l=ESC
2272,North Hgar,khaleesi,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S2619556296,http://conworkshop.info/view_language.php?l=NHG
2273,North Kaala,aver,New,A priori,http://conworkshop.info/view_profile.php?m=S4779034971,http://conworkshop.info/view_language.php?l=NKA
2274,Northanish,theJongn4,New,Other,http://conworkshop.info/view_profile.php?m=S9265488557,http://conworkshop.info/view_language.php?l=NNS
2275,Northeadish,BenJamin Paul Johnson,On hold,A posteriori,http://conworkshop.info/view_profile.php?m=10156610786490455,http://conworkshop.info/view_language.php?l=DRT
2276,Northeast Quoy,Miles,New,A priori,http://conworkshop.info/view_profile.php?m=S6144106279,http://conworkshop.info/view_language.php?l=RQY
2277,Northern Amaian,dendana,New,Mixed,http://conworkshop.info/view_profile.php?m=S1022175333,http://conworkshop.info/view_language.php?l=AMN
2278,Northern Gulfic,Graig,New,A priori,http://conworkshop.info/view_profile.php?m=S3325983523,http://conworkshop.info/view_language.php?l=GFN
2279,Northern Mutikw,Karchei,New,A priori,http://conworkshop.info/view_profile.php?m=S8945599288,http://conworkshop.info/view_language.php?l=NMK
2280,Northern Pangweresha,Viktor Stamyr,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=100000784091013,http://conworkshop.info/view_language.php?l=NPW
2281,Northern Scourge,isaakmobile,New,Artistic Language (Artlang),http://conworkshop.info/view_profile.php?m=S4551645646,http://conworkshop.info/view_language.php?l=SCO
2282,Northimerish,Neil Whalley,Functional,A posteriori,http://conworkshop.info/view_profile.php?m=10155732460985430,http://conworkshop.info/view_language.php?l=NMS
2283,Northlandic,antigollnian,New,A priori,http://conworkshop.info/view_profile.php?m=S4451155553,http://conworkshop.info/view_language.php?l=NSK
2284,Northpeninsulan,Viktor Stamyr,Progressing,A posteriori,http://conworkshop.info/view_profile.php?m=100000784091013,http://conworkshop.info/view_language.php?l=NRT
2285,Northumbrian,lyle1996,New,A priori,http://conworkshop.info/view_profile.php?m=S1256394958,http://conworkshop.info/view_language.php?l=NOT
2286,Northwest Tane,Benjaminmb,New,A priori,http://conworkshop.info/view_profile.php?m=S2693611022,http://conworkshop.info/view_language.php?l=NWT
2287,Nortish,riley200312,New,A priori,http://conworkshop.info/view_profile.php?m=S1884086294,http://conworkshop.info/view_language.php?l=JCN
2288,Norwellyyan,PoisonousFlower,New,Mixed,http://conworkshop.info/view_profile.php?m=S4940614665,http://conworkshop.info/view_language.php?l=NWN
2289,Nossy,KimDaruu,New,A priori,http://conworkshop.info/view_profile.php?m=S4313181082,http://conworkshop.info/view_language.php?l=NSR
2290,NotAvailable,Brijsven,On hold,Not specified,http://conworkshop.info/view_profile.php?m=S7751540949,http://conworkshop.info/view_language.php?l=ISX
2291,Nourian,Benjaminmb,New,A priori,http://conworkshop.info/view_profile.php?m=S2693611022,http://conworkshop.info/view_language.php?l=NOI
2292,Nouric,Jufetan Casqes,Progressing,A priori,http://conworkshop.info/view_profile.php?m=S4199970717,http://conworkshop.info/view_language.php?l=NOU
2293,Nousuerian,nslyons1,Progressing,Mixed,http://conworkshop.info/view_profile.php?m=S7618561877,http://conworkshop.info/view_language.php?l=NSV
2294,Novbasa,FoxSaintJust,Progressing,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=S5137523365,http://conworkshop.info/view_language.php?l=NVB
2295,Novgorod,Mucc,New,A posteriori,http://conworkshop.info/view_profile.php?m=S9325775156,http://conworkshop.info/view_language.php?l=NVG
2296,Novoslovnica,eakarpov,Progressing,International Auxiliary Language (IAL),http://conworkshop.info/view_profile.php?m=S4410029177,http://conworkshop.info/view_language.php?l=NSL
